PZN;Artikelname;DF;PM;PE;Herstellerk¸rzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
8641968;AETHERIA KINDER BAD FLASCH;BAD;125;ml;WEPA;ja;2;6,49;6,49;6,95;8,39;6,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3109080;AETHERIA KINDERBAD;BAD;10X20;ml;WEPA;ja;6;6,89;2,96;8,95;8,95;8,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
917336;AETHERIA REVITAL GESUNDHEI;BAD;10X20;ml;WEPA;ja;5;6,89;2,96;8,95;8,95;8,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
916963;AETHERIA REVITAL GESUNDHEI;BAD;125;ml;WEPA;ja;1;6,49;6,49;6,95;8,39;6,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
739484;AGNUS CASTUS AL;FTA;100;St;ALIUD;ja;2;9,91;6,40;17,45;17,46;17,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4202054;AGNUS CASTUS D 6;GLO;10;g;DHU;ja;1;6,26;5,96;11,70;11,70;11,70;;0,00;VK/UVP (abgerundet v2);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1447861;AGROPYRON GLOBULI VELATI;GLO;20;g;WALA;ja;1;6,16;5,54;11,50;11,51;11,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4889186;AKNEDERM SALBE NEU;SAL;30;g;GEPE;ja;1;9,65;9,30;16,95;16,99;16,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
18244300;AKTIVWOHL GELENKWOHL EINRE;EIN;50;ml;PRIMA;ja;1;9,89;9,89;16,90;16,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
11478845;AKUPUNKTURPFLASTER 3 GROES;PFL;17;St;AXISI;ja;1;5,44;3,37;6,25;9,41;6,25;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1287699;AKUSTIKA WASSERSCHUTZ;;1;P;SUEDM;ja;1;2,49;1,94;4,80;4,80;4,80;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
1287682;AKUSTIKA WINDSCHUTZ;;1;P;SUEDM;ja;1;1,79;1,65;3,45;3,45;3,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
8001192;ALCINA GESCHENK-SET NO.1;;;;;ja;6;0,00;11,82;0,00;0,00;0,00;;0,00;;keine Angabe;Keine Angabe;Keine Angabe;;
580598;ALFASON REPAIR;CRE;100;g;KARO;ja;2;15,96;14,51;25,25;25,29;25,25;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;keine Angabe;Ja
580581;ALFASON REPAIR;CRE;50;g;KARO;ja;1;8,22;7,69;14,25;14,29;14,25;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;keine Angabe;Ja
12579956;ALGOVIR EFFEKT;SPR;20;ml;HERME;ja;16;9,26;7,04;13,95;13,95;13,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
8468837;ALKOHOLTUPFER SOFTA SWABS;TUP;100;St;B. BR;ja;3;4,15;2,23;5,95;0,00;5,95;;0,00;MedProd;nein;Nein;Nein;nein, kein Lebensmittel;Nein
2264594;ALLANTOINUM;;10;g;INTDR;ja;1;5,93;6,00;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Keine Angabe
18181918;ALLEGRA ALLERGIETAB 20MG;TAB;6;St;A. NA;ja;5;2,55;1,32;4,91;4,91;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
16789751;ALLERGIKA AUGENLIDCR MED;CRE;15;ml;ILLAH;ja;1;15,42;14,86;23,85;23,85;23,85;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
4095291;ALLERGODIL AKUT AUGENTROPF;ATR;6;ml;MYLHC;ja;1;6,94;4,94;12,95;12,97;12,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
9686602;ALLEVYN 9X11 NICHT HAFT;VER;12;St;SMITN;ja;1;182,69;62,24;110,95;0,00;110,95;;0,00;OTC Nicht-AM (kein EK);nein;Nein;Ja;nein, kein Lebensmittel;Nein
11657424;ALLGA MED ENTWAESSERUNGS;KAP;30;St;THEIS;ja;1;4,10;3,67;5,95;6,30;5,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;ja;Nein
3765430;ALLGAEUER ARNIKA EXT STARK;EIN;250;ml;THEIS;ja;2;7,63;5,44;11,95;12,95;11,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3915160;ALLGAEUER BEIN LOTION;LOT;200;ml;THEIS;ja;2;10,38;9,97;15,95;17,95;15,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
8867595;ALLGAEUER BESENR KAELT SPR;SPR;75;ml;THEIS;ja;1;5,94;5,71;8,95;9,59;8,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7753211;ALLGAEUER BESENR PFLE BAL;BAL;100;ml;THEIS;ja;1;7,46;6,70;10,95;11,95;10,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
5462308;ALLGAEUER EINREIB WOHL&WAR;EIN;250;ml;THEIS;ja;1;7,05;6,88;10,95;12,35;10,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
1986440;ALLGAEUER FRANZBR WE EX ST;LOE;100;ml;THEIS;ja;4;3,54;2,66;5,95;6,45;5,95;;0,00;VK - 10% (Runden auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3403359;ALLGAEUER FRANZBR WE EX ST;LOE;250;ml;THEIS;ja;1;7,32;5,49;11,95;12,95;11,95;;0,00;VK - 10% (Runden auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1986463;ALLGAEUER FRANZBR WE EX ST;LOE;500;ml;THEIS;ja;1;12,02;9,02;18,95;20,95;18,95;;0,00;VK - 10% (Runden auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1757188;ALLGAEUER FUSS BUTTER;CRE;200;ml;THEIS;ja;1;10,38;10,26;15,95;17,95;15,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
4401291;ALLGAEUER FUSS VERWOEHNBAL;BAL;100;ml;THEIS;ja;2;5,04;3,78;7,95;8,69;7,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
2067830;ALLGAEUER FUSSBALSAM;BAL;100;ml;THEIS;ja;3;5,04;3,78;7,95;8,69;7,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3915183;ALLGAEUER FUSSBALSAM;BAL;200;ml;THEIS;ja;1;8,63;7,96;13,95;14,95;13,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
10979597;ALLGAEUER LAT 5IN1 BEINLOT;CRE;200;ml;THEIS;ja;1;12,13;11,87;17,95;19,55;17,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
16140105;ALLGAEUER LAT HORNH ENT PL;;1;P;THEIS;ja;2;10,74;7,60;13,95;15,79;13,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
13967382;ALLGAEUER LAT HORNH RED EX;CRE;30;ml;THEIS;ja;3;5,04;3,78;7,95;8,69;7,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
7387203;ALLGAEUER MOBIL DUSCHE;XDG;200;ml;THEIS;ja;2;4,95;4,71;6,95;7,95;6,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
1986492;ALLGAEUER SOLE FUSSBAD;BAD;10X10;g;THEIS;ja;1;2,65;2,51;3,95;4,50;3,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
11321227;ALLPREMED HYDRO BASIS;SCH;200;ml;NEUBO;ja;1;12,63;10,57;17,95;17,95;17,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
6734565;ALLPRESAN DIAB FUSS BASIS;SCH;125;ml;NEUBO;ja;1;10,02;8,02;13,45;13,45;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
6734536;ALLPRESAN DIAB FUSS INTENS;SCH;125;ml;NEUBO;ja;1;11,14;7,77;14,45;14,45;14,45;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
6445424;ALLPRESAN DIAB FUSS INTENS;SCH;200;ml;NEUBO;ja;1;13,43;11,04;16,95;16,95;16,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
9768748;ALLPRESAN FUSS SPEZ 3;SCH;125;ml;NEUBO;ja;1;9,26;7,64;12,45;12,45;12,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
9783009;ALLPRESAN FUSS SPEZ 4;SCH;125;ml;NEUBO;ja;1;10,02;7,90;13,45;13,45;13,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3321472;ALMASED VITALKOST/PFLANZ K;PUL;500;g;ALMAS;ja;1;18,69;15,87;21,95;23,88;21,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;ja;Nein
646216;ALOE CAPENSIS CONC;;1;kg;CAELO;ja;1;63,55;58,50;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;keine Angabe;Nein
11538458;ALOE VERA OEL BIO;XPK;50;ml;PRIMA;ja;1;5,79;4,69;9,90;9,90;9,90;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
10189837;ALOE VERA TUCH;TUE;5;St;WEPA;ja;2;1,30;0,00;1,95;2,00;1,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
259471;ALOE VERA ZAHNPASTA DENT;ZPA;100;ml;GROS;ja;1;3,37;3,27;5,95;5,99;5,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
116441;ALSIFEMIN KLIMA SOJA+CA+D3;TAB;60;St;ALSIT;ja;1;25,51;24,83;38,95;38,99;38,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
2058179;ALUMINIUMACETAT TARTRAT;LOE;250;ml;CAELO;ja;2;10,10;8,44;16,80;0,00;16,80;;0,00;OTC neu;nein;Ja;Nein;nein, kein Lebensmittel;Nein
8501948;ALVITA INFRAROT OHRTHERMOM;;1;ST;THE B;ja;1;20,98;17,85;29,95;29,95;29,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16756036;AMADOU MED REPAIRSALBE;SAL;50;ml;ZUNDE;ja;2;15,24;15,24;25,90;25,90;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
1390138;AMARA TROPFEN;DIL;50;ml;WELED;ja;1;14,39;13,43;24,45;24,49;24,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3201331;AMBROXOL 30 SAFT 1A PHARMA;LSE;100;ml;1APHA;ja;0;2,72;2,35;5,25;5,25;5,25;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3201609;AMBROXOL 30 TAB 1A PHARMA;TAB;20;St;1APHA;ja;0;1,92;1,22;3,70;3,70;3,70;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3202000;AMBROXOL 30 TROPFEN 1A PHA;LOE;50;ml;1APHA;ja;0;3,46;2,00;6,65;6,68;6,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10061592;AMBROXOL 75 RETARD HEUMANN;REK;10;St;HEUMA;ja;0;3,43;2,56;6,62;6,62;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4765768;AMBROXOL AL 15MG/5ML SAFT;LOE;100;ml;ALIUD;ja;0;2,04;1,04;3,90;3,93;3,90;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4765774;AMBROXOL AL 15MG/5ML SAFT;LOE;250;ml;ALIUD;ja;0;3,63;2,48;6,95;7,00;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4765780;AMBROXOL AL 30;TAB;20;St;ALIUD;ja;0;2,15;1,04;4,10;4,14;4,10;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4751565;AMBROXOL AL 75 RETARD;REK;20;St;ALIUD;ja;0;4,81;3,20;8,95;8,98;8,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4751571;AMBROXOL AL 75 RETARD;REK;50;St;ALIUD;ja;0;10,93;7,18;19,25;19,25;19,25;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
16737168;AMBROXOL HCL STADA30MG/5ML;SIR;250;ml;STAGM;ja;0;4,78;4,20;8,93;8,93;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
563105;AMBROXOL RATIO HUSTENSAFT;LSE;100;ml;RATIO;ja;0;1,81;1,53;3,45;3,49;3,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
563111;AMBROXOL RATIO HUSTENSAFT;LSE;250;ml;RATIO;ja;6;2,80;2,42;5,40;5,40;5,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
563080;AMBROXOL RATIO HUSTENTROPF;TEI;50;ml;RATIO;ja;0;1,43;1,06;2,75;2,76;2,75;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
680816;AMBROXOL RATIO30MG HUSTENL;TAB;20;St;RATIO;ja;0;2,31;1,87;4,35;4,45;4,35;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
15235631;AMBROXOLHCL AL 30MG/5ML;SIR;250;ml;ALIUD;ja;0;4,24;3,82;7,90;7,93;7,90;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
12398060;AMBROXOLHYDROCHLORID API;;25;g;CAELO;ja;1;19,05;16,10;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
2384022;AMEISENSAEURE 60% VET;LOE;1;l;SERUM;ja;1;8,73;7,66;13,90;13,92;13,90;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10050536;AMOROCUTAN 50MG/ML;NAW;3;ml;DERMA;ja;2;15,04;14,31;25,60;25,60;25,60;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10050559;AMOROCUTAN 50MG/ML;NAW;6;ml;DERMA;ja;1;24,50;23,48;39,95;39,95;39,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10333429;AMPUWA;IIL;10X500;ml;FREKA;ja;1;16,56;11,46;28,18;28,18;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
3773820;ANABOX 1X7 BUNT;;1;St;WEPA;ja;2;2,96;2,07;4,25;4,25;4,25;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
12587743;ANABOX 7 TAGE COMPACT WEIS;;1;St;WEPA;ja;1;8,70;6,12;13,95;13,95;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
4842196;ANABOX TAGESBOX HELLGRUEN;;1;St;WEPA;ja;1;1,51;1,44;1,90;1,90;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
3233584;ANABOX TAGESBOX ORANGE;;1;St;WEPA;ja;1;1,51;0,00;1,90;1,90;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
4842279;ANABOX TAGESBOX PINK;;1;St;WEPA;ja;1;1,51;0,00;1,90;1,90;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
123435;ANAESTHESULF LOTIO;LOT;50;g;INFEC;ja;3;5,87;5,33;10,95;10,97;10,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
16955675;ANBIO BIOTECH COVID19 AG;TES;20;St;MICRG;ja;0;150,00;34,00;79,00;0,00;79,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
3816009;ANGEL VAC NASENSAUGER;;1;St;ARIAN;ja;1;12,80;12,06;19,95;19,95;19,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
8412268;ANGIN HEEL SD;TAB;50;St;HEEL;ja;2;7,27;6,40;13,55;13,58;13,55;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6892910;ANGOCIN ANTI INFEKT N;FTA;100;St;REPHA;ja;1;11,27;9,91;19,85;19,85;19,85;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6892904;ANGOCIN ANTI INFEKT N;FTA;50;St;REPHA;ja;4;6,54;5,35;12,20;12,22;12,20;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
