PZN;Artikelname;DF;PM;PE;Herstellerkürzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
1448576;ACONIT SCHMERZOEL;OEL;100;ml;WALA;ja;1;8,97;7,57;15,80;15,80;15,80;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1448582;ACONIT SCHMERZOEL;OEL;50;ml;WALA;ja;1;5,63;4,54;9,95;10,52;9,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2812883;ACONITUM D12;GLO;10;g;DHU;ja;1;5,72;5,40;10,20;10,69;10,20;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
1617777;ACTINICA LOTION DISPENSER;LOT;80;g;GALDE;ja;1;18,79;15,97;30,20;30,22;30,20;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
8641968;AETHERIA KINDER BAD FLASCH;BAD;125;ml;WEPA;ja;4;6,49;3,19;6,95;8,39;6,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3109080;AETHERIA KINDERBAD;BAD;10X20;ml;WEPA;ja;2;6,89;2,96;8,95;8,95;8,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
916963;AETHERIA REVITAL GESUNDHEI;BAD;125;ml;WEPA;ja;6;6,49;3,10;7,95;8,39;7,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
739484;AGNUS CASTUS AL;FTA;100;St;ALIUD;ja;6;9,91;5,20;17,45;17,46;17,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
739478;AGNUS CASTUS AL;FTA;60;St;ALIUD;ja;1;6,28;4,19;7,95;11,73;7,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
1447861;AGROPYRON GLOBULI VELATI;GLO;20;g;WALA;ja;1;6,16;5,13;11,51;11,51;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
11703578;AIRFORCE ONE KOMPR VERNEBL;;1;St;SUNR;ja;4;86,02;30,14;127,95;128,04;127,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
9944435;AKNEDERM TINKTUR;TIN;50;ml;GEPE;ja;1;10,80;10,50;16,99;16,99;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
828578;ALCOHOL ISOPROPYLICUS;;1;l;CAELO;ja;1;9,50;7,57;10,50;0,00;10,50;;0,00;;nein;Ja;Nein;keine Angabe;Nein
12579956;ALGOVIR EFFEKT;SPR;20;ml;HERME;ja;11;9,26;7,04;13,95;13,95;13,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
8468837;ALKOHOLTUPFER SOFTA SWABS;TUP;100;St;B. BR;ja;5;4,15;2,23;3,95;0,00;3,95;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
17595894;ALLANTOIN PLV;;10;g;CAELO;ja;1;6,95;0,00;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
2264594;ALLANTOINUM;;10;g;INTDR;ja;1;5,93;5,30;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Keine Angabe
16789751;ALLERGIKA AUGENLIDCR MED;CRE;15;ml;ILLAH;ja;11;15,42;11,86;23,85;23,85;23,85;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
4095291;ALLERGODIL AKUT AUGENTROPF;ATR;6;ml;MYLHC;ja;2;6,94;4,94;12,95;12,97;12,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
694793;ALLERGODIL AKUT DUO;KPG;1;St;MYLHC;ja;3;11,35;7,87;19,95;19,99;19,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2218855;ALLERGODIL AKUT NASENSPRAY;NAS;5;ml;MYLHC;ja;1;4,51;4,01;8,40;8,43;8,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
9686542;ALLEVYN 7X8CM HAFT SCH;VER;12;St;SMITN;ja;1;138,26;59,95;141,57;0,00;141,57;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
3765430;ALLGAEUER ARNIKA EXT STARK;EIN;250;ml;THEIS;ja;1;7,63;7,05;12,95;12,95;12,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
1986440;ALLGAEUER FRANZBR WE EX ST;LOE;100;ml;THEIS;ja;3;3,54;2,66;5,80;6,45;5,80;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3403359;ALLGAEUER FRANZBR WE EX ST;LOE;250;ml;THEIS;ja;3;7,32;7,02;12,95;12,95;12,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1986463;ALLGAEUER FRANZBR WE EX ST;LOE;500;ml;THEIS;ja;1;12,02;10,83;18,95;20,95;18,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2067830;ALLGAEUER FUSSBALSAM;BAL;100;ml;THEIS;ja;4;5,04;3,78;7,80;8,69;7,80;;0,00;VK - 10% (abrunden);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3915183;ALLGAEUER FUSSBALSAM;BAL;200;ml;THEIS;ja;4;8,63;6,47;14,95;14,95;14,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
13967347;ALLGAEUER LAT HORNHAUT RED;CRE;75;ml;THEIS;ja;1;8,79;8,12;14,35;14,35;14,35;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
1986492;ALLGAEUER SOLE FUSSBAD;BAD;10X10;g;THEIS;ja;1;2,65;2,51;3,95;4,50;3,95;;0,00;VK - 10% (Runden auf ,95);nein;Nein;Nein;nein, kein Lebensmittel;Ja
6445424;ALLPRESAN DIAB FUSS INTENS;SCH;200;ml;NEUBO;ja;1;13,43;10,30;16,95;16,95;16,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
118569;ALUDERM KIN VERB PA MI 2X6;VER;1;St;SOEHN;ja;1;1,13;0,00;1,90;0,00;1,90;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
1338244;ALUMINIUM HYD CHL ROLL 20%;;50;ml;FAGRO;ja;1;7,40;5,85;9,95;0,00;9,95;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
8501948;ALVITA INFRAROT OHRTHERMOM;;1;St;THE B;ja;1;20,98;17,85;29,95;29,95;29,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
10061592;AMBROXOL 75 RETARD HEUMANN;REK;10;St;HEUMA;ja;0;3,43;1,97;6,62;6,62;6,62;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
3882147;AMBROXOL 75 RETARD HEUMANN;REK;20;St;HEUMA;ja;0;4,81;2,85;8,98;8,98;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4876290;AMBROXOL ACIS SAFT;LSE;100;ml;ACIS;ja;6;1,81;1,13;3,49;3,49;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4765768;AMBROXOL AL 15MG/5ML SAFT;LOE;100;ml;ALIUD;ja;0;2,04;1,04;3,90;3,93;3,90;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4765780;AMBROXOL AL 30;TAB;20;St;ALIUD;ja;0;2,15;1,13;3,65;4,14;3,65;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4765797;AMBROXOL AL 30;TAB;50;St;ALIUD;ja;0;4,40;3,40;8,22;8,22;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4751565;AMBROXOL AL 75 RETARD;REK;20;St;ALIUD;ja;0;4,81;3,20;8,95;8,98;8,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
563105;AMBROXOL RATIO HUSTENSAFT;LSE;100;ml;RATIO;ja;0;1,81;1,53;3,45;3,49;3,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
563080;AMBROXOL RATIO HUSTENTROPF;TEI;50;ml;RATIO;ja;0;1,43;1,20;2,75;2,76;2,75;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
12398060;AMBROXOLHYDROCHLORID API;;25;g;CAELO;ja;1;19,05;15,32;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
16850083;AMINOMED KAMILLEN ZAHNCRE;ZCR;75;ml;LIEBE;ja;1;1,76;1,55;2,45;2,69;2,45;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
7474497;AMMONIAKLOESUNG 25% TECHN;;1;l;HEDIN;ja;1;0,00;2,61;4,95;0,00;4,95;;0,00;;nein;Ja;Nein;keine Angabe;Nein
10206381;AMMONIUMBITUMINOSULFONAT;;25;g;CAELO;ja;1;13,70;11,55;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
15306704;AMOROLFIN BETA 50MG/ML NAW;NAW;3;ml;BETAP;ja;1;13,49;6,56;22,99;22,99;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
4263618;AMYLUM TRITICI PUL PH EUR;PUL;250;g;KLENK;ja;1;9,00;3,33;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
3773820;ANABOX 1X7 BUNT;;1;St;WEPA;ja;13;2,96;2,19;4,25;4,25;4,25;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
15259324;ANABOX 1X7 REGENBO M FACHT;;1;St;WEPA;ja;7;4,33;3,20;5,50;5,50;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
12587743;ANABOX 7 TAGE COMPACT WEIS;;1;St;WEPA;ja;3;8,70;6,12;13,95;13,95;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
1889010;ANABOX 7TAGE REGENBOGEN;;1;St;WEPA;ja;6;9,65;6,75;14,50;14,50;14,50;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
14165727;ANABOX COMPACT 7TAGE BL/WE;;1;St;WEPA;ja;1;8,70;7,72;13,95;13,95;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
14165710;ANABOX COMPACT 7TAGE PI/WE;;1;St;WEPA;ja;1;8,70;6,44;13,95;13,95;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
3233609;ANABOX TAGESBOX FARBIG SOR;;1;St;WEPA;ja;3;1,51;1,12;1,90;1,90;1,90;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
3029731;ANABOX TAGESBOX GELB;;1;St;WEPA;ja;38;1,51;0,90;1,90;1,90;1,90;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
123441;ANAESTHESULF LOTIO;LOT;100;g;INFEC;ja;1;8,80;8,40;14,95;15,49;14,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
123435;ANAESTHESULF LOTIO;LOT;50;g;INFEC;ja;1;5,87;5,29;10,95;10,97;10,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
6892904;ANGOCIN ANTI INFEKT N;FTA;50;St;REPHA;ja;1;6,54;5,35;12,20;12,22;12,20;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2830585;ANTI BRUMM FORTE PUMPZERST;;150;ml;HERME;ja;7;14,67;11,56;19,10;19,40;19,10;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
2830579;ANTI BRUMM FORTE PUMPZERST;;75;ml;HERME;ja;9;8,92;7,02;11,60;11,80;11,60;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
16084430;ANTI BRUMM KIDS;LOE;75;ml;HERME;ja;1;8,77;8,59;11,60;11,60;11,60;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
2830556;ANTI BRUMM NATUREL PUMPZER;;75;ml;HERME;ja;5;8,92;7,02;11,60;11,80;11,60;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
9373671;ANTI-BRUMM ZECKEN STOPP;SPR;75;ml;HERME;ja;1;8,92;8,37;11,60;11,80;11,60;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
8011894;ANTIBESCHLAGTUCH;;1;St;;ja;1;0,00;3,56;7,45;0,00;7,45;;0,00;;keine Angabe;Keine Angabe;Keine Angabe;keine Angabe;Keine Angabe
3250364;ANTIFUNGOL HEXAL 3 VAG.CRE;VCR;20;g;HEXAL;ja;1;5,36;2,94;7,95;10,02;7,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
3117659;ANTIFUNGOL HEXAL CREME;CRE;50;g;HEXAL;ja;2;5,62;3,30;9,95;10,50;9,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
52729;ANTIHYDRAL;SAL;70;g;ROBUG;ja;1;5,57;5,51;10,40;10,40;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2312;ANTISTAX EXTRA VENENTABL;FTA;30;St;A. NA;ja;7;12,65;10,06;21,95;21,99;21,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2335;ANTISTAX EXTRA VENENTABL;FTA;60;St;A. NA;ja;2;25,13;19,49;40,95;40,97;40,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10347319;ANTISTAX VENENCREME;CRE;100;g;A. NA;ja;1;10,78;10,33;18,95;18,98;18,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2800992;APIS MELLIFICA D12;GLO;10;g;DHU;ja;1;5,72;5,29;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
8783639;APIS/BELLADONNA C MERCURIO;GLO;20;g;WALA;ja;1;6,16;5,29;11,50;11,51;11,50;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
12893960;APODAY HEI BEER+VITC+ZI+MA;PUL;10X10;g;WEPA;ja;3;2,65;1,79;2,50;3,19;2,50;;0,00;;nein;Nein;Nein;ja;Nein
4821053;APODAY HEISSE ZITR C+CA ZF;PUL;10X10;g;WEPA;ja;2;2,65;1,75;2,50;3,19;2,50;;0,00;;nein;Nein;Nein;ja;Nein
4821030;APODAY HEISSE ZITR VIT C;PUL;10X10;g;WEPA;ja;1;2,65;1,79;2,50;3,19;2,50;;0,00;;nein;Nein;Nein;ja;Nein
17438870;APODAY ZINK HOLUNDER+VIT C;PUL;10X10;g;WEPA;ja;1;2,65;1,86;2,50;3,19;2,50;;0,00;;nein;Nein;Nein;ja;Nein
11595172;APOLINE NAGELFEI GL 13 SWA;;1;ST;WEPA;ja;1;5,25;0,00;7,45;7,49;7,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
11595166;APOLINE NAGELFEI GL 5 SWAR;;1;ST;WEPA;ja;1;5,25;4,16;7,45;7,49;7,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
10055396;APOLINE NAGELFEI GL LI 9CM;;1;ST;WEPA;ja;1;3,15;2,95;5,95;5,99;5,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
10055367;APOLINE NAGELFEI GL LI14CM;;1;ST;WEPA;ja;6;5,25;4,16;7,45;7,49;7,45;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
10055350;APOLINE NAGELFEI GL OR14CM;;1;ST;WEPA;ja;5;5,25;0,00;7,45;7,49;7,45;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Nein
14294258;APONORM FIEBERTH OHR SCHUT;;40;ST;WEPA;ja;3;6,75;4,73;8,95;8,95;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10040578;APONORM FIEBERTHER BASIC;;1;St;WEPA;ja;18;1,55;1,31;3,15;3,15;3,15;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1174802;APONORM FIEBERTHER EASY;;1;St;WEPA;ja;8;1,95;1,37;3,30;3,30;3,30;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1174825;APONORM FIEBERTHER FLEXIB;;1;St;WEPA;ja;7;3,90;2,73;5,95;5,95;5,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1174831;APONORM FIEBERTHER SENSITI;;1;St;WEPA;ja;3;5,65;4,35;7,45;7,45;7,45;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
17823266;APONORM INHAL COMP PLUS;;1;St;WEPA;ja;1;49,90;0,00;117,81;117,81;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
14294229;APONORM INHAL GER COM KIDS;;1;ST;WEPA;ja;1;57,45;51,71;117,81;117,81;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
2347104;AQUA BIDESTILLATA;;1;l;INTDR;ja;1;0,00;0,98;1,95;0,00;1,95;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
8009696;AQUA DEST.;;1;l;;ja;1;0,00;0,68;1,20;0,00;1,20;;0,00;;keine Angabe;Keine Angabe;Keine Angabe;keine Angabe;Keine Angabe
5502829;AQUACEL AG 5X5CM;KOM;10;St;KOHL;ja;1;24,85;24,42;0,00;0,00;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
795287;AQUALIBRA;FTA;60;St;MEDAR;ja;3;14,39;10,25;19,95;24,49;19,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2890587;ARNICA C200;GLO;10;g;DHU;ja;1;10,73;9,78;18,90;18,90;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2801069;ARNICA C30;GLO;10;g;DHU;ja;1;5,98;5,37;10,95;11,17;10,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1758443;ARNICA D 6;GLO;10;g;DHU;ja;2;5,72;4,88;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2110230;ARNICA D12;GLO;10;g;DHU;ja;1;5,72;5,14;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1758466;ARNICA D30;GLO;10;g;DHU;ja;1;5,98;5,65;10,95;11,17;10,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
70880;ARNIKA ESSENZ;ESS;50;ml;WELED;ja;1;8,69;7,22;14,95;14,99;14,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1572106;ARNIKA SALBE 30%;SAL;25;g;WELED;ja;1;5,79;3,94;9,95;9,99;9,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
13888056;AROMASTREAM ERSATZVLIES;;1;St;PRIMA;ja;3;2,87;2,22;4,90;4,90;4,90;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
17846623;ARONIA+ PRO KIDS;KDA;60;St;URSAP;ja;1;10,80;9,61;14,45;14,45;14,45;;0,00;;nein;Nein;Nein;ja;Nein
4348183;ARTELAC;ATR;10;ml;MANN;ja;5;4,53;3,08;7,85;8,46;7,85;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4348208;ARTELAC;ATR;3X10;ml;MANN;ja;4;11,33;7,43;19,95;19,96;19,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
12436056;ARTELAC COMPLETE MDO;ATR;10;ml;MANN;ja;4;11,17;8,23;16,95;17,95;16,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7707211;ARTELAC NIGHTTIME GEL;AUG;1X10;g;MANN;ja;6;6,20;4,53;9,95;9,95;9,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
7706996;ARTELAC SPLASH EDO;ATR;10X0.5;ml;MANN;ja;15;5,56;4,59;8,25;8,95;8,25;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7707004;ARTELAC SPLASH EDO;ATR;30X0.5;ml;MANN;ja;4;11,61;8,23;18,65;18,65;18,65;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
2134443;ASCHE BASIS CREME;CRE;100;ml;ASCHC;ja;1;9,98;9,59;17,55;17,58;17,55;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
13420821;ASEPTOMAN MED;LOE;500;ml;SCHUM;ja;10;5,51;4,00;6,55;0,00;6,55;;0,00;Schug Medical Produkte;nein;Nein;Nein;nein, kein Lebensmittel;Nein
6965017;ASKINA FINGER BOB FARBIG;VER;6;St;B. BR;ja;1;7,23;4,83;7,95;0,00;7,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
8917057;ASKINA STICK;STI;1;St;B. BR;ja;1;3,00;2,26;3,95;0,00;3,95;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
9892879;ASPECTON HUSTENTROPFEN;TEI;30;ml;HERME;ja;5;5,32;5,22;9,90;9,94;9,90;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10203603;ASPIRIN 500MG UEBERZ TABL;UTA;20;St;BAYSE;ja;15;4,38;3,19;7,95;8,19;7,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10203626;ASPIRIN 500MG UEBERZ TABL;UTA;40;St;BAYSE;ja;0;7,43;6,05;12,95;13,79;12,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
10203595;ASPIRIN 500MG UEBERZ TABL;UTA;8;St;BAYSE;ja;1;2,07;1,51;3,95;3,99;3,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3227112;ASPIRIN COMPLEX BEUTEL;GSE;10;St;BAYSE;ja;12;5,88;4,06;10,95;10,98;10,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
