PZN;Artikelname;DF;PM;PE;Herstellerkürzel;Lager;Bestand;EK;EEK;AVK;VK;EVK;Preisaktion;AP;Kalkulationsmodell;AM;DC;MP;LM;KM
1617777;ACTINICA LOTION DISPENSER;LOT;80;g;GALDE;ja;1;18,79;15,97;30,20;30,22;30,20;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1094552;ADEPS LANAE ANHYDR WOLLWAC;SAL;100;g;CAELO;ja;1;7,95;5,93;10,45;0,00;10,45;;0,00;;nein;Ja;Nein;keine Angabe;Nein
3109080;AETHERIA KINDERBAD;BAD;10X20;ml;WEPA;ja;5;6,89;3,10;8,95;8,95;8,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
739484;AGNUS CASTUS AL;FTA;100;St;ALIUD;ja;3;9,91;5,20;12,95;17,46;12,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
1447861;AGROPYRON GLOBULI VELATI;GLO;20;g;WALA;ja;1;6,16;5,20;11,50;11,51;11,50;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2511868;AIRSPRAY ZIMT + STERNE BIO;AEO;30;ml;PRIMA;ja;1;4,62;4,39;7,90;7,90;7,90;;0,00;;nein;Nein;Nein;keine Angabe;Nein
9397022;ALDIAMED MUND Z SPEICHELER;SPR;50;ml;CERT;ja;1;5,45;5,26;8,95;8,95;8,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
13475905;ALEPA MARIENDIST BIO-LEBER;TON;500;ml;SALUS;ja;1;19,09;17,12;31,30;34,29;31,30;;0,00;;nein;Nein;Nein;ja;Nein
12579956;ALGOVIR EFFEKT;SPR;20;ml;HERME;ja;8;9,26;7,04;13,95;13,95;13,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
366729;ALKOHOLTUPFER PARAM;TUP;100;St;PARAM;ja;3;1,73;1,68;3,50;0,00;3,50;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
2264594;ALLANTOINUM;;10;g;INTDR;ja;1;5,93;0,00;5,45;0,00;5,45;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Keine Angabe
18113578;ALLEGRA ALLERGIETAB 20MG;TAB;50;St;A. NA;ja;10;15,34;7,98;26,11;26,11;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
18181918;ALLEGRA ALLERGIETAB 20MG;TAB;6;St;A. NA;ja;10;2,55;1,33;4,91;4,91;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
16789751;ALLERGIKA AUGENLIDCR MED;CRE;15;ml;ILLAH;ja;4;15,42;11,86;23,85;23,85;23,85;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
16629094;ALLERGIKA HYGIENEFLU ANTIM;LOE;200;ml;ILLAH;ja;1;6,45;6,45;10,95;9,95;10,95;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
4095291;ALLERGODIL AKUT AUGENTROPF;ATR;6;ml;MYLHC;ja;1;6,94;5,97;12,95;12,97;12,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2218855;ALLERGODIL AKUT NASENSPRAY;NAS;5;ml;MYLHC;ja;1;4,51;4,51;8,40;8,43;8,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6064828;ALLGAEUER 10%UREA FUSS;CRE;100;ml;THEIS;ja;4;7,57;7,22;11,70;11,70;11,70;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3403359;ALLGAEUER FRANZBR WE EX ST;LOE;250;ml;THEIS;ja;2;7,32;5,49;12,95;12,95;12,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
3915183;ALLGAEUER FUSSBALSAM;BAL;200;ml;THEIS;ja;4;8,63;6,47;14,95;14,95;14,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
13967347;ALLGAEUER LAT HORNHAUT RED;CRE;75;ml;THEIS;ja;1;8,79;6,23;14,35;14,35;14,35;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
1986492;ALLGAEUER SOLE FUSSBAD;BAD;10X10;g;THEIS;ja;0;2,65;2,21;3,95;4,50;3,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
8001803;ALLICIN KAPSELN;KAP;100;St;;ja;0;0,00;0,00;38,10;0,00;38,10;;0,00;;keine Angabe;Keine Angabe;Keine Angabe;keine Angabe;Keine Angabe
6734536;ALLPRESAN DIAB FUSS INTENS;SCH;125;ml;NEUBO;ja;1;11,14;7,58;14,45;14,45;14,45;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
3321472;ALMASED VITALKOST/PFLANZ K;PUL;500;g;ALMAS;ja;1;18,69;17,08;20,95;23,88;20,95;;0,00;;nein;Nein;Nein;ja;Nein
3201609;AMBROXOL 30 TAB 1A PHARMA;TAB;20;St;1APHA;ja;0;1,92;1,22;3,70;3,70;3,70;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4876290;AMBROXOL ACIS SAFT;LSE;100;ml;ACIS;ja;5;1,81;1,13;3,49;3,49;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
563105;AMBROXOL RATIO HUSTENSAFT;LSE;100;ml;RATIO;ja;0;1,81;1,81;3,45;3,49;3,45;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
563097;AMBROXOL RATIO HUSTENTROPF;TEI;100;ml;RATIO;ja;3;2,40;2,40;4,60;4,63;4,60;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
563080;AMBROXOL RATIO HUSTENTROPF;TEI;50;ml;RATIO;ja;0;1,43;1,24;2,75;2,76;2,75;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
8596133;AMBROXOLHYDROCHLORID;PUL;25;g;EURO;ja;1;18,95;0,00;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
10050536;AMOROCUTAN 50MG/ML;NAW;3;ml;DERMA;ja;4;15,04;12,03;25,60;25,60;25,60;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3773820;ANABOX 1X7 BUNT;;1;St;WEPA;ja;6;2,96;2,07;4,25;4,25;4,25;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
11313009;ANABOX 1X7 BUNT DECKEL KLA;;1;St;WEPA;ja;2;2,96;2,00;4,25;4,25;4,25;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1889010;ANABOX 7TAGE REGENBOGEN;;1;St;WEPA;ja;4;9,65;6,75;14,50;14,50;14,50;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
3233609;ANABOX TAGESBOX FARBIG SOR;;1;St;WEPA;ja;5;1,51;1,01;1,90;1,90;1,90;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
123435;ANAESTHESULF LOTIO;LOT;50;g;INFEC;ja;1;5,87;5,24;10,95;10,97;10,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6892910;ANGOCIN ANTI INFEKT N;FTA;100;St;REPHA;ja;5;11,27;10,06;19,85;19,85;19,85;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2830585;ANTI BRUMM FORTE PUMPZERST;;150;ml;HERME;ja;5;14,67;11,56;19,10;19,40;19,10;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
2830579;ANTI BRUMM FORTE PUMPZERST;;75;ml;HERME;ja;2;8,92;7,02;11,60;11,80;11,60;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
2830556;ANTI BRUMM NATUREL PUMPZER;;75;ml;HERME;ja;3;8,92;7,02;11,60;11,80;11,60;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
8014852;ANTIBESCHLAGTUCH;;1;St;BIP;ja;20;0,00;3,56;7,45;0,00;7,45;;0,00;;keine Angabe;Keine Angabe;Keine Angabe;keine Angabe;Keine Angabe
8913131;ANTISTAX FRISCH GEL;GEL;125;ml;A. NA;ja;1;8,95;6,74;10,50;0,00;10,50;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
10347319;ANTISTAX VENENCREME;CRE;100;g;A. NA;ja;1;10,78;10,78;18,95;18,98;18,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2800992;APIS MELLIFICA D12;GLO;10;g;DHU;ja;1;5,72;5,35;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
12893960;APODAY HEI BEER+VITC+ZI+MA;PUL;10X10;g;WEPA;ja;0;2,65;1,86;2,50;3,19;2,50;;0,00;;nein;Nein;Nein;ja;Nein
4821053;APODAY HEISSE ZITR C+CA ZF;PUL;10X10;g;WEPA;ja;10;2,65;1,75;2,50;3,19;2,50;;0,00;;nein;Nein;Nein;ja;Nein
17438870;APODAY ZINK HOLUNDER+VIT C;PUL;10X10;g;WEPA;ja;8;2,65;1,86;2,50;3,19;2,50;;0,00;;nein;Nein;Nein;ja;Nein
149736;APOLINE GUMMIHUF M NAG REI;;1;St;WEPA;ja;1;1,80;0,00;3,45;3,49;3,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
149601;APOLINE NAGELFEI GE17CM VC;;1;St;WEPA;ja;1;4,15;3,61;5,95;5,99;5,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
10055367;APOLINE NAGELFEI GL LI14CM;;1;St;WEPA;ja;1;5,25;3,99;7,45;7,49;7,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
10055350;APOLINE NAGELFEI GL OR14CM;;1;St;WEPA;ja;1;5,25;0,00;7,45;7,49;7,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
10055373;APOLINE NAGELFEI GL PI14CM;;1;St;WEPA;ja;1;5,25;3,99;7,45;7,49;7,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
149676;APOLINE NAGELFEI GL TR14CM;;1;St;WEPA;ja;1;5,25;0,00;7,45;7,49;7,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
149481;APOLINE NAGELSCH LI 9CM VC;;1;St;WEPA;ja;1;13,65;10,20;20,95;20,99;20,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
149535;APOLINE NAGELZA DF 10.5 VC;;1;St;WEPA;ja;1;12,70;0,00;19,95;19,99;19,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
149400;APOLINE PINZETTE RUN8CM VC;;1;St;WEPA;ja;1;3,25;2,93;5,45;5,49;5,45;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
1174802;APONORM FIEBERTHER EASY;;1;St;WEPA;ja;17;1,95;1,37;3,30;3,30;3,30;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1174825;APONORM FIEBERTHER FLEXIB;;1;St;WEPA;ja;1;3,90;2,17;5,95;5,95;5,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
1174831;APONORM FIEBERTHER SENSITI;;1;St;WEPA;ja;3;5,65;3,96;7,45;7,45;7,45;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
12397497;AQUACEL AG EXTRA 5X5 CM;KOM;10;St;AVIT;ja;2;72,87;67,24;77,58;0,00;77,58;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10203856;AQUACEL AG+ EXTRA 5X5CM;KOM;10;St;CONVA;ja;0;74,00;29,60;0,00;0,00;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
795287;AQUALIBRA;FTA;60;St;MEDAR;ja;3;14,39;10,25;19,95;24,49;19,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2801069;ARNICA C30;GLO;10;g;DHU;ja;1;5,98;5,37;11,15;11,17;11,15;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1758443;ARNICA D 6;GLO;10;g;DHU;ja;1;5,72;5,01;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
2110230;ARNICA D12;GLO;10;g;DHU;ja;1;5,72;5,72;10,65;10,69;10,65;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4348183;ARTELAC;ATR;10;ml;MANN;ja;13;4,53;3,08;7,85;8,46;7,85;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
12436056;ARTELAC COMPLETE MDO;ATR;10;ml;MANN;ja;1;11,17;9,78;16,95;17,95;16,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7707211;ARTELAC NIGHTTIME GEL;AUG;1X10;g;MANN;ja;0;6,20;5,00;9,95;9,95;9,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7707228;ARTELAC NIGHTTIME GEL;AUG;3X10;g;MANN;ja;1;16,15;10,76;24,95;25,95;24,95;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7706996;ARTELAC SPLASH EDO;ATR;10X0.5;ml;MANN;ja;6;5,56;3,76;8,25;8,95;8,25;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
7707033;ARTELAC SPLASH MDO;ATR;2X15;ml;MANN;ja;0;22,64;19,38;29,95;36,45;29,95;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
2134443;ASCHE BASIS CREME;CRE;100;ml;ASCHC;ja;0;9,98;8,33;17,55;17,58;17,55;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
6167089;ASKINA OCULA AUG 56X72 UNS;KOM;5;St;B. BR;ja;1;5,45;3,72;3,75;0,00;3,75;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
8917057;ASKINA STICK;STI;1;St;B. BR;ja;1;3,00;1,94;3,95;0,00;3,95;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
9892885;ASPECTON HUSTENTROPFEN;TEI;50;ml;HERME;ja;2;7,17;6,76;13,40;13,40;13,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
13898451;ASPECTON NASENSPRAY 1.5%;NAS;20;ml;HERME;ja;0;4,53;4,09;8,46;8,46;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
10203603;ASPIRIN 500MG UEBERZ TABL;UTA;20;St;BAYSE;ja;13;4,38;3,19;7,95;8,19;7,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3227112;ASPIRIN COMPLEX BEUTEL;GSE;10;St;BAYSE;ja;6;5,88;4,06;10,95;10,98;10,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4114918;ASPIRIN COMPLEX BEUTEL;GSE;20;St;BAYSE;ja;7;10,21;6,89;17,95;17,98;17,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
16781643;ASPIRIN COMPLEX GRAN-STICK;GRA;10;St;BAYSE;ja;3;6,94;4,58;12,97;12,97;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
1405147;ASPIRIN EFFECT;GRA;10;St;BAYSE;ja;0;3,62;2,63;6,95;6,97;6,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1743631;ASPIRIN EFFECT;GRA;20;St;BAYSE;ja;0;6,30;4,96;11,75;11,77;11,75;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1406632;ASPIRIN PLUS C;BTA;10;St;BAYSE;ja;21;4,27;2,87;7,95;7,97;7,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1894063;ASPIRIN PLUS C;BTA;20;St;BAYSE;ja;0;7,11;4,87;12,95;13,28;12,95;;0,00;VK/UVP (abgerundet auf ,95);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3464237;ASPIRIN PLUS C;BTA;40;St;BAYSE;ja;0;12,48;8,28;21,75;21,79;21,75;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6706155;ASPIRIN PROTECT 100MG;TMR;98;St;BAYER;ja;1;7,38;6,69;13,70;13,73;13,70;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
5387268;ASPIRIN PROTECT 300MG;TMR;98;St;BAYER;ja;1;7,97;7,66;14,40;14,43;14,40;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
6312077;ASS 100 1A PHARMA TAH;TAB;100;St;1APHA;ja;45;1,49;0,95;2,85;2,87;2,85;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
7402210;ASS 100 HEXAL;TAB;100;St;HEXAL;ja;6;2,47;1,45;4,75;4,76;4,75;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
11481830;ASS ABZ 100MG TAH TABL;TAB;100;ST;ABZ;ja;11;1,68;1,18;3,20;3,24;3,20;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
11481824;ASS ABZ 100MG TAH TABL;TAB;50;ST;ABZ;ja;1;1,04;0,98;1,95;2,08;1,95;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3024202;ASS AL 100 TAH;TAB;100;St;ALIUD;ja;36;1,68;0,77;3,20;3,24;3,20;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
9064651;ASS DEXCEL 100MG TABLETTEN;TAB;100;St;DEXCE;ja;1;1,48;1,38;2,85;2,86;2,85;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
9318809;ASS DEXCEL PROTECT 100MG;TMR;100;St;DEXCE;ja;2;1,80;1,39;3,45;3,47;3,45;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
1343682;ASS RATIOPHARM 100MG TAH;TAB;100;St;RATIO;ja;15;2,58;1,44;4,55;4,97;4,55;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
3416422;ASS RATIOPHARM 500MG;TAB;100;St;RATIO;ja;5;6,15;3,17;10,65;11,50;10,65;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
3828202;ASS TAD 100MG PROTECT;FMR;100;St;TAD;ja;2;1,96;1,66;3,75;3,78;3,75;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
15577596;ASS-RATIO PROTECT 100 MG;TMR;100;St;RATIO;ja;6;2,69;1,56;4,95;5,19;4,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
8468984;AUDISPRAY ADULT;SPR;50;ml;COOP;ja;2;7,65;5,99;14,30;14,33;14,30;;0,00;VK/UVP (abgerundet);nein;Nein;Ja;nein, kein Lebensmittel;Nein
3173770;AUGENKLAP FRA GUMMIB SCHW;;1;St;BUETT;ja;2;1,15;0,95;0,00;0,00;0,00;;0,00;;nein;Nein;Ja;nein, kein Lebensmittel;Nein
8545503;AUGENKLAPPE M GUMMIB SAND;;1;St;JUNGH;ja;1;0,81;0,67;1,10;0,00;1,10;;0,00;;nein;Nein;Ja;keine Angabe;Nein
7533716;AUTAN TROPICAL PUMPSPRAY;SPR;100;ml;SK 01;ja;1;7,65;5,61;9,95;9,99;9,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Nein
9948999;AVENE CICALFATE HANDCREME;CRE;100;ml;PIEFA;ja;3;9,86;8,38;14,90;14,90;14,90;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
4396609;AVENE THERMALWASSER SPRAY;SPR;150;ml;PIEFA;ja;1;7,63;5,24;11,50;11,50;11,50;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
850141;AVENE THERMALWASSER SPRAY;SPR;50;ml;PIEFA;ja;1;3,67;3,27;5,50;5,50;5,50;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;nein, kein Lebensmittel;Ja
3099625;AZARON STICK;STI;5.75;g;OMGPH;ja;1;5,05;4,12;8,95;9,44;8,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
2498263;AZELA VISION SINE 0.5MG/ML;ATR;10X0.3;ml;OMNIV;ja;2;3,31;2,32;6,35;6,38;6,35;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4459669;BABIX INHALAT N;INH;10;ml;MICKA;ja;1;4,68;4,50;8,75;8,75;8,75;;0,00;VK/UVP (abgerundet);ja;Nein;Nein;nein, kein Lebensmittel;Nein
4459652;BABIX INHALAT N;INH;5;ml;MICKA;ja;4;3,32;3,32;6,40;6,40;0,00;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
16391818;BACH ORIGINAL RESCURA AF;TRO;20;ml;NELSO;ja;4;12,25;8,69;18,55;18,55;0,00;;0,00;;nein;Nein;Nein;ja;Nein
16391824;BACH ORIGINAL RESCURA CRE;CRE;30;ml;NELSO;ja;4;7,20;5,62;12,95;12,95;0,00;;0,00;;nein;Nein;Nein;nein, kein Lebensmittel;Ja
10111350;BACHBLUETEN MURNAU ORI GLO;GLO;10;g;MURNA;ja;1;9,95;7,36;17,95;18,55;17,95;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
10111373;BACHBLUETEN MURNAU ORIG BO;BON;50;g;MURNA;ja;9;6,70;5,03;8,55;8,55;8,55;;0,00;VK/UVP (abgerundet);nein;Nein;Nein;ja;Nein
11372495;BAG IN A BOX AQUA PURIFIKA;;5;l;WEPA;ja;1;13,80;13,37;0,00;0,00;0,00;;0,00;;nein;Ja;Nein;nein, kein Lebensmittel;Nein
499175;BALDRIPARAN STARK F D NACH;UTA;30;St;DR.F;ja;2;9,99;8,94;12,95;13,99;12,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
499181;BALDRIPARAN STARK F D NACH;UTA;60;St;DR.F;ja;1;18,56;16,23;22,95;25,99;22,95;;0,00;;ja;Nein;Nein;nein, kein Lebensmittel;Nein
